Order ID,Product,Category,Quantity Ordered,Price Each,Order Date,Purchase Address
5a448b35-28eb-45e7-b744-1acb44bdf59c,Mouse,Accessories,1,19.99,06/21/2025 19:08:08,"9246 Melissa Spur, Pattersonton, RI 68006"
4931c62a-c4b7-4cc5-afde-6a41c4a186a1,USB Cable,Accessories,2,9.99,04/05/2025 14:36:07,"7483 Reyes Streets, Meyersbury, KS 48580"
f1355cb6-c9ce-44d9-a9d8-4ef1777ad70d,Monitor,Electronics,2,199.99,06/28/2025 20:48:18,"87352 Johnson Rue Apt. 301, Cruzmouth, WY 78327"
360a868d-c9fe-4cb7-bc2f-47d140543929,Mouse,Accessories,5,19.99,07/29/2025 17:23:09,"7218 Evans Loop, Lauraland, MS 71577"
31297c34-b12d-4b7a-b183-4fe9a9ab3f77,Mouse,Accessories,5,19.99,07/26/2025 17:49:08,"84789 Christine Pines Suite 369, Beckborough, KS 46840"
0347e0dd-fd56-4409-9d4f-09f0bafe0c68,Webcam,Electronics,1,89.99,03/18/2025 20:33:06,"78005 Jones Prairie Suite 379, Lewisbury, WY 67554"
e3dd758c-b786-4d3f-af81-4a4ae2171cdc,Laptop,Electronics,1,999.99,05/29/2025 14:10:32,"131 Mayo Wells Suite 559, Williamville, FL 72594"
8ee8bdb2-5a65-4e7c-ace2-e8be6e06ccb8,Monitor,Electronics,2,199.99,03/31/2025 13:00:03,"82672 Thomas Canyon, East Darylfurt, MT 01564"
94f8dfa1-bf7a-4c5b-9087-f8628642f192,Laptop,Electronics,5,999.99,05/26/2025 02:04:19,"3473 John Rapids, Mariaberg, NV 94921"
a15e5b8d-61c9-4cfd-8e16-e8a40985fad6,Monitor,Electronics,5,199.99,04/17/2025 05:15:15,"PSC 0710, Box 0469, APO AA 39657"
facedbda-8a7c-4e31-b126-e9b95718631d,Webcam,Electronics,2,89.99,06/12/2025 13:32:55,"9331 Booker Trafficway Apt. 650, New Danielfurt, KY 36119"
aab60ff8-e796-4e23-908a-83422f77a821,Charger,Accessories,5,25.99,05/30/2025 11:23:28,"354 Robles Estates, North Alexisport, WY 06822"
15eedcc9-7f18-4fab-bec4-a8ab41c82fd9,USB Cable,Accessories,1,9.99,03/01/2025 13:51:24,"5862 Latoya Isle Suite 332, Campbellborough, GA 68170"
122e1b51-0ae1-42f4-931c-9275cc29cb36,Keyboard,Accessories,4,49.99,04/29/2025 21:21:49,"8655 Tiffany Mission Suite 183, North Calvinchester, PA 52318"
be19efac-01ef-443c-8a15-a1a5c9703f2e,Headphones,Accessories,3,79.99,03/10/2025 23:25:29,"7536 Virginia Expressway, Port Allen, SD 36379"
4717c351-e495-46bf-9de5-d2bd2617b457,Keyboard,Accessories,2,49.99,07/20/2025 23:20:33,"571 Moreno Summit, East Dawn, NY 89787"
4e98afac-c31e-4094-a535-1b66ba77a821,Headphones,Accessories,1,79.99,02/19/2025 07:57:01,"047 Stokes Heights Suite 934, Parkermouth, CA 47396"
1433443a-4f61-4f3c-ad66-0b02b0016c1e,Mouse,Accessories,4,19.99,06/22/2025 17:04:26,"09679 Hernandez Unions, Coleland, UT 71759"
e6b295cb-7859-465d-b29c-b86a36f89189,Mouse,Accessories,3,19.99,05/28/2025 12:05:54,"346 Romero Trail, Elizabethfurt, VA 88875"
dc2932d4-060c-4df0-b685-1080b09ab1fc,Headphones,Accessories,5,79.99,04/23/2025 01:23:56,"936 Sanchez Pike, New Scotthaven, AZ 25174"
f5d3feb4-c699-4bf4-a978-e72effd442e2,USB Cable,Accessories,1,9.99,04/17/2025 07:56:23,"2325 Jamie Common Suite 639, Port Francisco, WA 15381"
09e65b2a-4a0d-41c0-847c-74395a78ba6e,Charger,Accessories,5,25.99,06/05/2025 06:51:25,"040 Pugh Course Suite 834, Lake James, NE 05009"
59e89a8c-5c5d-48b4-a65d-2575fc37b844,Mouse,Accessories,4,19.99,02/16/2025 05:34:00,"01212 Cole Port Suite 885, Millsstad, SD 26739"
75c7ec05-e6a8-4599-bd99-dd9a2a058a2d,Mouse,Accessories,5,19.99,07/22/2025 06:48:16,"095 Bradley Ports Suite 956, Pattonland, AZ 00527"
9a29e0e5-53f8-4a7b-8089-9f4bd33992ef,USB Cable,Accessories,5,9.99,05/24/2025 00:55:57,"PSC 1675, Box 4205, APO AP 63498"
7d291dcb-cc59-499e-8f01-02ac77882d33,Headphones,Accessories,5,79.99,03/13/2025 00:57:51,"01739 Barbara Mall, Stephenmouth, MO 57904"
61acba32-88e3-48eb-8f79-cce268b59ffa,Monitor,Electronics,1,199.99,03/28/2025 12:52:11,"785 Duke Vista Suite 098, Ginashire, IA 92608"
093192e0-7024-40a7-a203-ab9820602504,Laptop,Electronics,2,999.99,06/14/2025 02:33:28,"405 Jones Divide Suite 019, Briannastad, AR 56796"
5c885784-9c27-4671-babd-19eaa0341cd5,USB Cable,Accessories,1,9.99,03/04/2025 03:23:00,"857 Daniel Canyon, Lopezfort, MT 48315"
999e529a-efcd-4daa-b467-31f3a66d0dad,Monitor,Electronics,1,199.99,06/06/2025 02:36:06,"27104 Brendan Lane Suite 106, Munozfurt, IL 52405"
ba3b22d8-a67d-40ac-8949-0ac1779d844f,Webcam,Electronics,3,89.99,05/28/2025 08:07:54,"6939 Zachary Springs, New Brooke, CA 07188"
7ed6dc39-c864-4724-854e-a59cd73f1f2f,Charger,Accessories,3,25.99,07/20/2025 12:42:34,"86755 Stephen Plaza, Stephenborough, IN 55533"
39d95d33-9bee-4730-a900-61c0b1d3e1e2,Keyboard,Accessories,3,49.99,07/30/2025 21:16:55,"88932 Wheeler Parkways Apt. 373, West Antonio, WA 92256"
